,MODEL,F1_TRAIN,F1_TEST,ACC_TRAIN,  ACC_TEST  ,EPOCHS,Precision,Recall,Optimal_Threshold
103,"L= 3, N=10, LR=0.010000000000000002, batch_size=32, regularizer=True, drop_out=True, Opt=Adam, relu",0.6204055766793409,0.5917312661498707,0.85025,0.842,52,0.6325966850828729,0.5558252427184466,0.3384494483470917
104,"L= 4, N=10, LR=0.010000000000000002, batch_size=32, regularizer=True, drop_out=True, Opt=Adam, relu",0.5999384046812442,0.5607940446650124,0.837625,0.823,21,0.5736040609137056,0.5485436893203883,0.3320921063423157
105,"L= 2, N=20, LR=0.010000000000000002, batch_size=32, regularizer=True, drop_out=True, Opt=Adam, relu",0.6327364121897581,0.6023166023166023,0.853875,0.8455,44,0.6410958904109589,0.5679611650485437,0.337218314409256
106,"L= 3, N=20, LR=0.010000000000000002, batch_size=32, regularizer=True, drop_out=True, Opt=Adam, relu",0.6303069888961462,0.5879194630872484,0.8585,0.8465,46,0.6576576576576577,0.5315533980582524,0.36434686183929443
107,"L= 4, N=20, LR=0.010000000000000002, batch_size=32, regularizer=True, drop_out=True, Opt=Adam, relu",0.6120606256046437,0.5729032258064516,0.849625,0.8345,33,0.6115702479338843,0.5388349514563107,0.3502838611602783
108,"L= 2, N=10, LR=0.010000000000000002, batch_size=16, regularizer=True, drop_out=False, Opt=Adam, relu",0.6234527687296417,0.5793650793650794,0.8555,0.841,42,0.6366279069767442,0.5315533980582524,0.3661937713623047
109,"L= 3, N=10, LR=0.010000000000000002, batch_size=16, regularizer=True, drop_out=False, Opt=Adam, relu",0.6282457251424953,0.5945241199478488,0.85325,0.8445,30,0.6422535211267606,0.5533980582524272,0.3546013832092285
110,"L= 4, N=10, LR=0.010000000000000002, batch_size=16, regularizer=True, drop_out=False, Opt=Adam, relu",0.5362142422398053,0.5217391304347826,0.8095,0.8075,50,0.5343511450381679,0.5097087378640777,0.30713555216789246
111,"L= 2, N=20, LR=0.010000000000000002, batch_size=16, regularizer=True, drop_out=False, Opt=Adam, relu",0.6296992481203009,0.5968992248062016,0.85225,0.844,45,0.638121546961326,0.5606796116504854,0.3481045961380005
112,"L= 3, N=20, LR=0.010000000000000002, batch_size=16, regularizer=True, drop_out=False, Opt=Adam, relu",0.6299713649379574,0.5953002610966057,0.854625,0.845,39,0.6440677966101694,0.5533980582524272,0.35275548696517944
113,"L= 4, N=20, LR=0.010000000000000002, batch_size=16, regularizer=True, drop_out=False, Opt=Adam, relu",0.6304552590266875,0.5997425997425997,0.852875,0.8445,35,0.6383561643835617,0.5655339805825242,0.3470838963985443
114,"L= 2, N=10, LR=0.010000000000000002, batch_size=32, regularizer=True, drop_out=False, Opt=Adam, relu",0.6324228028503563,0.6084848484848484,0.84525,0.8385,29,0.6077481840193705,0.6092233009708737,0.3129146695137024
115,"L= 3, N=10, LR=0.010000000000000002, batch_size=32, regularizer=True, drop_out=False, Opt=Adam, relu",0.626026531901453,0.6,0.852,0.846,42,0.6452513966480447,0.5606796116504854,0.3454517126083374
116,"L= 4, N=10, LR=0.010000000000000002, batch_size=32, regularizer=True, drop_out=False, Opt=Adam, relu",0.6296179349542154,0.5992217898832685,0.853375,0.8455,40,0.6434540389972145,0.5606796116504854,0.34499692916870117
117,"L= 2, N=20, LR=0.010000000000000002, batch_size=32, regularizer=True, drop_out=False, Opt=Adam, relu",0.6297229219143577,0.5911458333333333,0.853,0.843,35,0.6376404494382022,0.5509708737864077,0.35348978638648987
118,"L= 3, N=20, LR=0.010000000000000002, batch_size=32, regularizer=True, drop_out=False, Opt=Adam, relu",0.628809752967597,0.5925925925925926,0.855375,0.846,32,0.6511627906976745,0.5436893203883495,0.36439332365989685
119,"L= 4, N=20, LR=0.010000000000000002, batch_size=32, regularizer=True, drop_out=False, Opt=Adam, relu",0.6304277902862656,0.5936675461741424,0.856375,0.846,34,0.6502890173410405,0.5461165048543689,0.3651386797428131
120,"L= 2, N=10, LR=0.010000000000000002, batch_size=16, regularizer=False, drop_out=True, Opt=Adam, relu",0.634257748776509,0.6032171581769437,0.859875,0.852,43,0.6736526946107785,0.5461165048543689,0.3140769600868225
121,"L= 3, N=10, LR=0.010000000000000002, batch_size=16, regularizer=False, drop_out=True, Opt=Adam, relu",0.6420756486402001,0.5982478097622027,0.856875,0.8395,31,0.6175710594315246,0.5800970873786407,0.2971595525741577
122,"L= 4, N=10, LR=0.010000000000000002, batch_size=16, regularizer=False, drop_out=True, Opt=Adam, relu",0.6324409448818896,0.6,0.854125,0.844,40,0.6358695652173914,0.5679611650485437,0.2758742570877075
123,"L= 2, N=20, LR=0.010000000000000002, batch_size=16, regularizer=False, drop_out=True, Opt=Adam, relu",0.6583629893238434,0.6122448979591838,0.856,0.8385,41,0.6057007125890737,0.6189320388349514,0.30420011281967163
124,"L= 3, N=20, LR=0.010000000000000002, batch_size=16, regularizer=False, drop_out=True, Opt=Adam, relu",0.6468085106382979,0.5985401459854014,0.85475,0.835,41,0.6,0.5970873786407767,0.27211809158325195
125,"L= 4, N=20, LR=0.010000000000000002, batch_size=16, regularizer=False, drop_out=True, Opt=Adam, relu",0.6471277842907387,0.6068476977567887,0.8495,0.8335,25,0.5908045977011495,0.6237864077669902,0.2878399193286896
